"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","random_id","participant","rt","stimulus","response","correct_response","correct_response_key","css_classes","size_condition","choices","correct","slider_start"
"","","","","","html-keyboard-response","344","2.0.0","337354","pukxay7l5kt","3332","null","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","","","","","image-keyboard-response","345","2.0.0","337969","pukxay7l5kt","3332","613","stimuli/29-Incongruent.jpg","m","right","m","normal","big","m","true",""
"","","","","","html-keyboard-response","347","2.0.0","338671","pukxay7l5kt","3332","null","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","","","","","image-keyboard-response","348","2.0.0","339221","pukxay7l5kt","3332","549","stimuli/15-Congruent.jpg","m","right","m","cb","big","m","true",""
"","","","","","html-keyboard-response","350","2.0.0","339924","pukxay7l5kt","3332","null","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","","","","","image-keyboard-response","351","2.0.0","340491","pukxay7l5kt","3332","566","stimuli/29-Incongruent.jpg","z","left","z","cb","big","z","true",""
"","","","","","html-keyboard-response","353","2.0.0","341194","pukxay7l5kt","3332","null","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","","","","","image-keyboard-response","354","2.0.0","341614","pukxay7l5kt","3332","418","stimuli/28-Incongruent.jpg","m","right","m","normal","big","m","true",""
"","","","","","html-keyboard-response","356","2.0.0","342318","pukxay7l5kt","3332","null","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","","","","","image-keyboard-response","357","2.0.0","342787","pukxay7l5kt","3332","467","stimuli/33-Incongruent.jpg","z","left","z","cb","big","z","true",""
"","","","","","html-keyboard-response","359","2.0.0","343490","pukxay7l5kt","3332","null","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","","","","","image-keyboard-response","360","2.0.0","344162","pukxay7l5kt","3332","670","stimuli/34-Incongruent.jpg","z","left","z","cb","big","z","true",""
"","","","","","html-keyboard-response","362","2.0.0","344865","pukxay7l5kt","3332","null","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","","","","","image-keyboard-response","363","2.0.0","345588","pukxay7l5kt","3332","722","stimuli/32-Congruent.jpg","m","right","m","cb","big","m","true",""
"","","","","","html-keyboard-response","365","2.0.0","346292","pukxay7l5kt","3332","null","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","","","","","image-keyboard-response","366","2.0.0","346855","pukxay7l5kt","3332","561","stimuli/24-Congruent.jpg","z","left","z","normal","big","z","true",""
"","","","","","html-keyboard-response","368","2.0.0","347558","pukxay7l5kt","3332","null","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","","","","","image-keyboard-response","369","2.0.0","347953","pukxay7l5kt","3332","393","stimuli/14-Congruent.jpg","m","left","z","normal","big","m","false",""
"","","","","","html-keyboard-response","370","2.0.0","348957","pukxay7l5kt","3332","null","<p style='color:red; font-size: 48px;'>Incorrect!</p>","null","","","","","","",""
"","","","","","html-keyboard-response","371","2.0.0","349659","pukxay7l5kt","3332","null","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","","","","","image-keyboard-response","372","2.0.0","350144","pukxay7l5kt","3332","483","stimuli/3-Incongruent.jpg","z","left","z","cb","big","z","true",""
"","","","","","html-keyboard-response","374","2.0.0","350848","pukxay7l5kt","3332","null","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","","","","","image-keyboard-response","375","2.0.0","351621","pukxay7l5kt","3332","771","stimuli/11-Congruent.jpg","m","right","m","cb","big","m","true",""
"","","","","","html-keyboard-response","377","2.0.0","352324","pukxay7l5kt","3332","null","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","","","","","image-keyboard-response","378","2.0.0","352752","pukxay7l5kt","3332","426","stimuli/8-Congruent.jpg","z","right","m","cb","big","z","false",""
